Title,URL,Rating,Price
"Sponsored Ad - HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "3.8 out of 5 stars", "₹52,990"
"Sponsored Ad - HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "3.6 out of 5 stars", "₹55,990"
"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)", "https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-3", "3.4 out of 5 stars", "₹18,690"
"DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg/MS Office 2021", "https://www.amazon.in/DELL-Latitude-3440-Intel-1215U/dp/B0B8XFRNT8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-4", "4.5 out of 5 stars", "₹32,150"
"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg", "https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-5", "3.4 out of 5 stars", "₹25,000"
"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg", "https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-6", "3.6 out of 5 stars", "₹37,450"
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg", "https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-7", "4.2 out of 5 stars", "₹29,900"
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU", "https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-8", "3.6 out of 5 stars", "₹55,990"
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu", "https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-9", "4.0 out of 5 stars", "₹37,348"
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN", "https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-10", "3.7 out of 5 stars", "₹23,990"
"Sponsored Ad - Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "3.9 out of 5 stars", "₹34,990"
"Sponsored Ad - kotsren 15.6'' Laptop Computer, 16GB RAM 512GB ROM Celeron N5095 Quad-Core Processors, 1920 * 1080 IPS FHD, WiFi, Bluetooth, Mini HDMI, TF Card, USB 3.0", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "5.0 out of 5 stars", "₹24,000"
"(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 512 GB SSD, 14 Inches Notebook Computer", "https://www.amazon.in/Refurbished-Lenovo-Thinkpad-Laptop-Generation/dp/B0CXXBW47R/ref=sr_1_13?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-13", "3.1 out of 5 stars", "₹18,074"
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG", "https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_14?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-14", "3.3 out of 5 stars", "₹23,990"
"ASUS Vivobook Go 14, Thin and Light Laptop, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS", "https://www.amazon.in/ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-15", "4.0 out of 5 stars", "₹33,990"
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG", "https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_16?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-16", "3.8 out of 5 stars", "₹33,490"
"Lenovo V14 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics 610M/Windows 11) Thin and Light Business Laptop/14 FHD Display/Silver/1.47 kg/MS Office 2021", "https://www.amazon.in/Lenovo-V14-Ryzen-7320U-Quad/dp/B0DKG7KLMN/ref=sr_1_17?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-17", "4.0 out of 5 stars", "₹26,100"
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey", "https://www.amazon.in/Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_18?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-18", "4.2 out of 5 stars", "₹39,899"
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu", "https://www.amazon.in/HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_19?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-19", "3.8 out of 5 stars", "₹52,990"
"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG", "https://www.amazon.in/Acer-i3-1305U-Premium-Windows-AL15-53/dp/B0DB1SDB87/ref=sr_1_20?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-20", "3.9 out of 5 stars", "₹34,990"
"Sponsored Ad - Dell 15 Thin & Light Laptop, Windows 11 Home, Intel Core i5-1235U Processor, 8GB RAM + 512GB SSD, 15.6"" FHD Window 11 + Mso '21, 15 Month Mcafee, Spill-Resistant Keyboard, Black, 1.66Kg", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "3.7 out of 5 stars", "₹44,490"
"Sponsored Ad - ASUS Vivobook Go 14, Thin and Light Laptop, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "4.0 out of 5 stars", "₹33,990"
